,time,package_id,core_0,core_1,ram,fan
0,22:27:28,59.0,59.0,44.0,25.07323808950724,0
1,22:27:33,45.0,42.0,43.0,25.087173120591856,0
2,22:27:38,46.0,41.0,42.0,25.054869184895693,0
3,22:27:43,46.0,42.0,45.0,25.508391105649707,0
4,22:27:48,45.0,41.0,43.0,28.195424031383386,0
5,22:27:53,46.0,42.0,44.0,27.588194495029317,0
6,22:27:58,47.0,40.0,44.0,27.58091027423508,0
7,22:28:03,46.0,42.0,43.0,28.013740785196774,0
8,22:28:08,47.0,44.0,46.0,30.204074307497574,0
9,22:28:13,49.0,47.0,48.0,34.96552663332817,0
10,22:28:18,47.0,44.0,45.0,41.7296118354864,0
11,22:28:23,49.0,46.0,48.0,45.398431042181976,0
12,22:28:28,49.0,46.0,47.0,47.81299188284439,0
13,22:28:33,58.0,46.0,59.0,48.01737233875216,0
14,22:28:38,50.0,46.0,48.0,46.24287281222651,0
15,22:28:43,49.0,46.0,48.0,44.5043721160028,0
16,22:28:48,50.0,46.0,48.0,44.57964239754321,0
17,22:28:53,52.0,48.0,49.0,46.67116388124398,0
18,22:28:58,50.0,46.0,48.0,49.96838225901634,0
19,22:29:03,85.0,85.0,75.0,56.55627377268797,0
20,22:29:08,81.0,81.0,54.0,57.05244533403431,0
21,22:29:13,80.0,80.0,58.0,60.38545140527399,0
22,22:29:18,83.0,83.0,57.0,66.42607624362235,0
23,22:29:23,83.0,83.0,62.0,63.17150750644231,0
24,22:29:28,58.0,55.0,56.0,45.01912371879529,0
25,22:29:33,57.0,52.0,55.0,46.455698741518894,0
26,22:29:38,57.0,52.0,55.0,48.170129838596445,0
27,22:29:43,57.0,53.0,55.0,51.28260348608028,0
28,22:29:48,90.0,90.0,68.0,58.508339377125225,0
29,22:29:53,59.0,56.0,57.0,60.869799303881855,0
30,22:29:58,60.0,56.0,57.0,60.3638098797259,0
31,22:30:03,57.0,54.0,55.0,60.094821552425806,0
32,22:30:08,58.0,55.0,56.0,62.28811099041122,0
33,22:30:13,56.0,55.0,55.0,62.23437666600159,0
34,22:30:18,56.0,53.0,55.0,58.18107728347126,0
35,22:30:23,56.0,53.0,55.0,58.47772453610598,0
36,22:30:28,56.0,53.0,53.0,57.191795644880514,0
37,22:30:33,60.0,55.0,60.0,62.430311648524736,0
38,22:30:38,56.0,52.0,55.0,63.00777089119802,0
39,22:30:43,56.0,52.0,54.0,63.53603525140591,0
40,22:30:48,57.0,52.0,54.0,62.97979526061148,0
41,22:30:53,56.0,52.0,54.0,62.87359343279989,0
42,22:30:58,56.0,51.0,53.0,62.89787416878068,0
43,22:31:03,54.0,52.0,53.0,62.92574423094992,0
44,22:31:08,55.0,52.0,52.0,62.91033124202298,0
45,22:31:13,54.0,51.0,52.0,62.92173263109222,0
46,22:31:18,54.0,51.0,53.0,62.92722218879222,0
47,22:31:23,54.0,51.0,53.0,62.92204933634415,0
48,22:31:28,54.0,51.0,52.0,62.932711746492224,0
49,22:31:33,53.0,50.0,53.0,62.934189704334536,0
50,22:31:38,54.0,51.0,52.0,62.92785559929607,0
51,22:31:43,54.0,51.0,52.0,62.93017810447684,0
52,22:31:48,55.0,50.0,52.0,63.47902830605973,0
53,22:31:53,55.0,51.0,53.0,57.32713435586902,0
54,22:31:58,72.0,65.0,72.0,59.8448355402411,0
55,22:32:03,65.0,56.0,65.0,62.77720946779794,0
56,22:32:08,58.0,55.0,56.0,65.15355454139495,0
57,22:32:13,59.0,56.0,57.0,63.41917101344625,0
58,22:32:18,60.0,57.0,59.0,64.72716370388903,0
59,22:32:23,58.0,54.0,55.0,64.25717311003501,0
60,22:32:28,57.0,54.0,55.0,63.54997028249053,0
61,22:32:33,56.0,52.0,55.0,63.49338561081358,0
62,22:32:38,57.0,54.0,55.0,64.02312792886377,0
63,22:32:43,56.0,53.0,55.0,64.01837735008493,0
64,22:32:48,55.0,51.0,55.0,64.01932746584069,0
65,22:32:53,56.0,52.0,54.0,63.065305678630736,0
66,22:32:58,56.0,52.0,54.0,63.07966298338459,0
67,22:33:03,55.0,53.0,54.0,63.28847731281928,0
