,time,package_id,core_0,core_1
87,Thu Nov 18 17:10:02 2021,81.0,81.0,68.0
88,Thu Nov 18 17:10:04 2021,87.0,71.0,87.0
89,Thu Nov 18 17:10:06 2021,83.0,59.0,83.0
90,Thu Nov 18 17:10:08 2021,83.0,59.0,83.0
91,Thu Nov 18 17:10:10 2021,82.0,61.0,82.0
92,Thu Nov 18 17:10:12 2021,82.0,63.0,82.0
93,Thu Nov 18 17:10:14 2021,79.0,79.0,63.0
94,Thu Nov 18 17:10:16 2021,80.0,81.0,74.0
95,Thu Nov 18 17:10:18 2021,81.0,81.0,63.0
96,Thu Nov 18 17:10:20 2021,79.0,79.0,62.0
97,Thu Nov 18 17:10:22 2021,82.0,82.0,71.0
98,Thu Nov 18 17:10:24 2021,79.0,79.0,64.0
99,Thu Nov 18 17:10:26 2021,80.0,81.0,64.0
100,Thu Nov 18 17:10:28 2021,83.0,61.0,83.0
101,Thu Nov 18 17:10:30 2021,83.0,62.0,83.0
102,Thu Nov 18 17:10:32 2021,80.0,80.0,64.0
103,Thu Nov 18 17:10:34 2021,78.0,78.0,64.0
104,Thu Nov 18 17:10:36 2021,79.0,80.0,63.0
105,Thu Nov 18 17:10:38 2021,79.0,78.0,64.0
106,Thu Nov 18 17:10:40 2021,79.0,79.0,62.0
107,Thu Nov 18 17:10:42 2021,79.0,79.0,62.0
108,Thu Nov 18 17:10:44 2021,79.0,79.0,61.0
109,Thu Nov 18 17:10:46 2021,79.0,79.0,61.0
110,Thu Nov 18 17:10:48 2021,78.0,78.0,63.0
111,Thu Nov 18 17:10:50 2021,81.0,62.0,81.0
112,Thu Nov 18 17:10:52 2021,82.0,59.0,82.0
113,Thu Nov 18 17:10:54 2021,83.0,59.0,83.0
114,Thu Nov 18 17:10:56 2021,81.0,59.0,81.0
115,Thu Nov 18 17:10:58 2021,81.0,59.0,81.0
116,Thu Nov 18 17:11:00 2021,83.0,59.0,83.0
117,Thu Nov 18 17:11:02 2021,83.0,59.0,82.0
118,Thu Nov 18 17:11:04 2021,83.0,60.0,83.0
119,Thu Nov 18 17:11:06 2021,82.0,58.0,82.0
120,Thu Nov 18 17:11:08 2021,82.0,60.0,82.0
121,Thu Nov 18 17:11:10 2021,80.0,80.0,61.0
122,Thu Nov 18 17:11:12 2021,62.0,59.0,60.0
123,Thu Nov 18 17:11:14 2021,59.0,55.0,59.0
124,Thu Nov 18 17:11:16 2021,58.0,55.0,58.0
125,Thu Nov 18 17:11:18 2021,58.0,55.0,56.0
126,Thu Nov 18 17:11:20 2021,57.0,53.0,56.0
127,Thu Nov 18 17:11:22 2021,57.0,54.0,56.0
128,Thu Nov 18 17:11:24 2021,56.0,54.0,54.0
129,Thu Nov 18 17:11:26 2021,55.0,53.0,54.0
130,Thu Nov 18 17:11:28 2021,54.0,51.0,53.0
131,Thu Nov 18 17:11:30 2021,55.0,52.0,53.0
132,Thu Nov 18 17:11:32 2021,54.0,51.0,53.0
133,Thu Nov 18 17:11:34 2021,54.0,48.0,53.0
134,Thu Nov 18 17:11:36 2021,71.0,62.0,71.0
135,Thu Nov 18 17:11:38 2021,53.0,48.0,52.0
136,Thu Nov 18 17:11:40 2021,54.0,52.0,54.0
137,Thu Nov 18 17:11:42 2021,52.0,48.0,51.0
138,Thu Nov 18 17:11:44 2021,52.0,48.0,51.0
139,Thu Nov 18 17:11:46 2021,52.0,48.0,51.0
140,Thu Nov 18 17:11:48 2021,52.0,50.0,52.0
141,Thu Nov 18 17:11:50 2021,53.0,48.0,52.0
142,Thu Nov 18 17:11:52 2021,52.0,50.0,52.0
143,Thu Nov 18 17:11:54 2021,53.0,50.0,52.0
144,Thu Nov 18 17:11:56 2021,52.0,50.0,51.0
145,Thu Nov 18 17:11:58 2021,53.0,48.0,53.0
146,Thu Nov 18 17:12:00 2021,53.0,50.0,51.0
147,Thu Nov 18 17:12:02 2021,53.0,50.0,53.0
148,Thu Nov 18 17:12:04 2021,54.0,50.0,52.0
149,Thu Nov 18 17:12:06 2021,54.0,48.0,52.0
150,Thu Nov 18 17:12:08 2021,53.0,50.0,53.0
151,Thu Nov 18 17:12:10 2021,53.0,50.0,53.0
152,Thu Nov 18 17:12:12 2021,54.0,52.0,53.0
153,Thu Nov 18 17:12:14 2021,54.0,51.0,53.0
154,Thu Nov 18 17:12:16 2021,54.0,51.0,53.0
155,Thu Nov 18 17:12:18 2021,54.0,51.0,52.0
156,Thu Nov 18 17:12:20 2021,53.0,51.0,52.0
157,Thu Nov 18 17:12:22 2021,53.0,51.0,52.0
158,Thu Nov 18 17:12:24 2021,54.0,51.0,54.0
159,Thu Nov 18 17:12:26 2021,54.0,52.0,53.0
160,Thu Nov 18 17:12:28 2021,55.0,50.0,55.0
161,Thu Nov 18 17:12:30 2021,54.0,51.0,54.0
162,Thu Nov 18 17:12:32 2021,54.0,51.0,53.0
163,Thu Nov 18 17:12:34 2021,55.0,51.0,53.0
164,Thu Nov 18 17:12:36 2021,55.0,51.0,53.0
165,Thu Nov 18 17:12:38 2021,54.0,51.0,53.0
166,Thu Nov 18 17:12:40 2021,55.0,52.0,53.0
167,Thu Nov 18 17:12:42 2021,54.0,51.0,53.0
168,Thu Nov 18 17:12:44 2021,54.0,52.0,54.0
169,Thu Nov 18 17:12:46 2021,54.0,52.0,53.0
170,Thu Nov 18 17:12:48 2021,54.0,52.0,54.0
171,Thu Nov 18 17:12:50 2021,54.0,51.0,54.0
172,Thu Nov 18 17:12:52 2021,55.0,53.0,55.0
173,Thu Nov 18 17:12:54 2021,55.0,52.0,54.0
174,Thu Nov 18 17:12:56 2021,54.0,52.0,53.0
175,Thu Nov 18 17:12:58 2021,56.0,56.0,56.0
176,Thu Nov 18 17:13:00 2021,55.0,53.0,54.0
177,Thu Nov 18 17:13:02 2021,55.0,52.0,55.0
178,Thu Nov 18 17:13:04 2021,59.0,54.0,59.0
179,Thu Nov 18 17:13:06 2021,56.0,52.0,53.0
180,Thu Nov 18 17:13:08 2021,55.0,52.0,54.0
181,Thu Nov 18 17:13:10 2021,56.0,52.0,54.0
182,Thu Nov 18 17:13:12 2021,55.0,53.0,55.0
